id;titre;ville;date_debut;date_fin;jour_entier;group_id;arriere_plan_couleur;texte_couleur;salle;commentaire;matriculecreation;datecreation;matriculemodif;datemodif
1;expedite Bedfordshire;invoice Ball Ergonomic;2020-11-14T03:43:42;2020-11-13T15:11:49;true;e-commerce architectures;upward-trending rich;Florida;Gorgeous Soft Chips;Metal;Outdoors;2020-11-14T00:12:35;Graphic Interface compress;2020-11-14T07:26:18
2;Movies e-services Chicken;XML Vision-oriented teal;2020-11-13T12:22:08;2020-11-14T01:18:58;true;Rand Loti withdrawal Agent;port alarm Associate;Cotton global;deposit;Gorgeous Frozen Metal;Home Loan Account methodologies Seychelles;2020-11-13T11:23:35;Dynamic;2020-11-13T16:43:07
3;Investment Account Falkland Islands Pound;cross-platform;2020-11-13T16:04:24;2020-11-13T15:01:41;false;Ohio;silver incentivize;action-items;transmitting Central;hack Granite Personal Loan Account;azure;2020-11-13T11:24:07;Auto Loan Account Identity back-end;2020-11-14T06:38:45
4;redundant;Rustic Rubber Hat Unbranded;2020-11-14T03:34:58;2020-11-13T23:45:38;false;pixel Fresh extensible;clicks-and-mortar ubiquitous;intuitive Architect Vanuatu;French Southern Territories Investment Account;Agent transmitting;proactive Illinois;2020-11-13T15:38:30;uniform District Pizza;2020-11-13T17:31:47
5;e-business;user-facing envisioneer;2020-11-14T02:53:29;2020-11-13T13:25:32;false;Cayman Islands Dollar Bedfordshire Maryland;static;Shoes SSL;violet 1080p Lake;transmitting ability;value-added deliver Money Market Account;2020-11-13T17:51:22;Montana;2020-11-13T12:44:54
6;Global Function-based;override global Handmade;2020-11-14T00:02:25;2020-11-13T19:00:07;false;payment Clothing;Marketing New Hampshire Bermuda;Wooden Refined Concrete Table auxiliary;Utah target;generating Plaza;Legacy Beauty payment;2020-11-14T02:20:47;Surinam Dollar microchip Practical;2020-11-14T03:35:17
7;Concrete Licensed Plastic Ball;backing up Optimization convergence;2020-11-14T08:36:45;2020-11-14T02:54:03;false;Pizza overriding Small;enable;Buckinghamshire Home Loan Account;product;Administrator Auto Loan Account;wireless;2020-11-13T13:24:07;Checking Account matrix;2020-11-13T13:21:13
8;hard drive deposit Universal;HTTP;2020-11-14T03:49:14;2020-11-14T01:14:14;true;Director Tasty white;e-services relationships Investment Account;SQL;interface auxiliary Turks and Caicos Islands;monitor;integrate withdrawal fresh-thinking;2020-11-13T22:34:59;Forges Regional XSS;2020-11-13T15:33:06
9;synergize;transmitting experiences Bridge;2020-11-14T07:39:13;2020-11-13T21:21:30;false;Product copying;productivity;payment Michigan New Hampshire;dynamic Tasty;Bedfordshire Cotton Assistant;Auto Loan Account;2020-11-13T19:10:37;Cross-group;2020-11-13T16:13:51
10;Personal Loan Account;Licensed Granite Gloves bandwidth-monitored Chicken;2020-11-13T16:18:37;2020-11-14T05:04:06;true;internet solution Cheese;Buckinghamshire Generic visionary;CSS deposit;Metal;Gourde US Dollar;embrace;2020-11-13T22:14:30;port;2020-11-13T17:00:22
